G:0.05 C:5 A:0.899461 FPOS:0.0506739 FNEG:0.0498652
G:0.05 C:6 A:0.901887 FPOS:0.0498652 FNEG:0.048248
G:0.05 C:7 A:0.901078 FPOS:0.0504043 FNEG:0.0485175
G:0.05 C:8 A:0.898922 FPOS:0.0514825 FNEG:0.0495957
G:0.05 C:9 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:10 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:11 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:12 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:13 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:14 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.05 C:15 A:0.9 FPOS:0.0490566 FNEG:0.0509434
G:0.1 C:5 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:6 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:7 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:8 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:9 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:10 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:11 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:12 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:13 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:14 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.1 C:15 A:0.902156 FPOS:0.0504043 FNEG:0.0474394
G:0.15 C:5 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:6 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:7 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:8 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:9 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:10 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:11 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:12 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:13 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:14 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.15 C:15 A:0.896766 FPOS:0.0568733 FNEG:0.0463612
G:0.2 C:5 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:6 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:7 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:8 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:9 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:10 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:11 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:12 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:13 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:14 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
G:0.2 C:15 A:0.892453 FPOS:0.0555256 FNEG:0.0520216
